,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
27,【ggadgg】非典型性热文分析与推荐,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5bd2997,https://moinmoin150.lofter.com/,2022-06-16,15,15,15,15,15,15,15,27,0,0,0,0,0,0,0
28,adgg,text,Always,https://yinyongyue.lofter.com/post/741dcfd2_2b5bd0d53,https://yinyongyue.lofter.com/,2022-06-16,2,3,3,3,3,3,3,28,1,0,0,0,0,0,1
29,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5bc9661,https://moinmoin150.lofter.com/,2022-06-15,7,7,7,7,7,7,7,29,0,0,0,0,0,0,0
30,【adgg】星海（14）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5bcb389,https://chuxiadefengmu.lofter.com/,2022-06-15,18,18,18,18,18,18,18,30,0,0,0,0,0,0,0
31,《灰烬》02,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5bc85c3,https://2781260535.lofter.com/,2022-06-15,28,28,28,28,28,28,28,31,0,0,0,0,0,0,0
32,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5bc8194,https://zhonger84482.lofter.com/,2022-06-15,7,7,7,7,7,7,7,32,0,0,0,0,0,0,0
33,大纲＋人物设定,text,April,https://april67505.lofter.com/post/74ce63fa_2b5bbf15c,https://april67505.lofter.com/,2022-06-15,18,18,18,18,18,18,18,33,0,0,0,0,0,0,0
34,点梗,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b8dc95,https://platanus-occidentalis-l.lofter.com/,2022-06-14,8,8,8,8,8,8,8,34,0,0,0,0,0,0,0
35,None,img,Burke,https://wenruohan430.lofter.com/post/3117898f_2b5b8dbbb,https://wenruohan430.lofter.com/,2022-06-14,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
36,有关糖,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5b89413,https://fanmaihuanghundewenrou.lofter.com/,2022-06-13,1,1,1,1,1,1,1,36,0,0,0,0,0,0,0
37,【adgg】星海（13）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b89dde,https://chuxiadefengmu.lofter.com/,2022-06-13,29,29,29,29,29,29,29,37,0,0,0,0,0,0,0
38,【ADGG】红白玫瑰（49）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5b898f1,https://banzhujiang.lofter.com/,2022-06-13,6,6,6,6,6,6,6,38,0,0,0,0,0,0,0
39,None,img,尚恩鹅鹅鹅鹅鹅鹅鹅,https://shangeneeeeeee.lofter.com/post/74dbd205_2b5b85ef8,https://shangeneeeeeee.lofter.com/,2022-06-13,1,1,1,1,1,1,1,39,0,0,0,0,0,0,0
40,【adgg】脑洞—甜品奇缘,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b83f6d,https://platanus-occidentalis-l.lofter.com/,2022-06-13,0,0,0,0,0,1,1,40,0,0,0,0,1,0,1
41,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5b7bc28,https://andydufresne66959.lofter.com/,2022-06-13,14,14,14,14,14,14,14,41,0,0,0,0,0,0,0
42,【adgg】脑洞——另一个故事,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b7a72c,https://platanus-occidentalis-l.lofter.com/,2022-06-13,6,6,6,8,8,8,8,42,0,0,2,0,0,0,2
43,【adgg】瘾+pwp,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5b7786c,https://moinmoin150.lofter.com/,2022-06-13,15,15,15,15,15,15,15,43,0,0,0,0,0,0,0
44,【ADGG】红白玫瑰（48）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5b70239,https://banzhujiang.lofter.com/,2022-06-12,4,4,4,4,4,4,4,44,0,0,0,0,0,0,0
45,打扰了，找篇文,text,喜欢lex永永远远❤️（阴阳怪气光芒万丈,https://xuzilanfeng896.lofter.com/post/1fc974ac_2b5b6f623,https://xuzilanfeng896.lofter.com/,2022-06-12,2,2,2,2,2,2,2,45,0,0,0,0,0,0,0
46,问一下姐妹们……,text,庭梧生,https://tingwusheng78055.lofter.com/post/7445ef3b_2b5b59aa6,https://tingwusheng78055.lofter.com/,2022-06-12,1,1,1,1,1,1,1,46,0,0,0,0,0,0,0
47,ADGG是真的！,text,电灯泡它亮如白昼,https://hulanhe23476.lofter.com/post/740dfe2d_2b5b57474,https://hulanhe23476.lofter.com/,2022-06-12,5,5,5,5,5,5,5,47,0,0,0,0,0,0,0
48,惊！ADGG那年那些（破）事！,text,啦啦啦种太阳,https://yushengwuguo.lofter.com/post/1fd10182_2b5b49c37,https://yushengwuguo.lofter.com/,2022-06-12,4,4,4,4,4,4,4,48,0,0,0,0,0,0,0
49,前往霍格沃茨,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5a252f5,https://yemingmeiyu.lofter.com/,2022-06-12,4,4,4,4,4,4,4,49,0,0,0,0,0,0,0
50,【adgg】星海（12）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b48c8e,https://chuxiadefengmu.lofter.com/,2022-06-11,45,45,45,45,45,45,45,50,0,0,0,0,0,0,0
51,如果我们不曾相遇-demo,text,高锥克山谷的萝莉   ⃒⃘⃤,https://gaozhuikeshangudeluoli.lofter.com/post/1f9724ff_2b5b48c4b,https://gaozhuikeshangudeluoli.lofter.com/,2022-06-11,3,3,3,3,3,3,3,51,0,0,0,0,0,0,0
52,关于变成格林德沃的样子穿越08,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5b16c56,https://jiadeling.lofter.com/,2022-06-11,16,20,20,20,20,20,20,52,4,0,0,0,0,0,4
53,浅浅发个福利,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5b3f7ba,https://andydufresne66959.lofter.com/,2022-06-11,34,34,34,34,34,34,34,53,0,0,0,0,0,0,0
54,None,img,沫言demotivation,https://moyandemotivation.lofter.com/post/748c3de2_2b5b32072,https://moyandemotivation.lofter.com/,2022-06-11,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
55,None,img,电灯泡它亮如白昼,https://hulanhe23476.lofter.com/post/740dfe2d_2b5b301fb,https://hulanhe23476.lofter.com/,2022-06-11,2,2,2,2,2,2,2,55,0,0,0,0,0,0,0
56,None,img,April,https://april67505.lofter.com/post/74ce63fa_2b5b34981,https://april67505.lofter.com/,2022-06-11,9,9,9,9,9,9,9,56,0,0,0,0,0,0,0
57,瘾,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5b30090,https://moinmoin150.lofter.com/,2022-06-11,20,20,20,20,20,20,20,57,0,0,0,0,0,0,0
58,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5b27df9,https://zhonger84482.lofter.com/,2022-06-11,33,33,33,33,33,33,33,58,0,0,0,0,0,0,0
59,【adgg】星海（11）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b25720,https://chuxiadefengmu.lofter.com/,2022-06-10,34,34,34,34,34,34,34,59,0,0,0,0,0,0,0
60,金色的大鸟（格林德沃夫人篇）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5b1549e,https://yemingmeiyu.lofter.com/,2022-06-10,7,7,7,7,7,7,7,60,0,0,0,0,0,0,0
61,【adgg】The Death of Rose,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b593a9a1,https://andydufresne66959.lofter.com/,2022-06-10,7,7,7,7,7,7,7,61,0,0,0,0,0,0,0
62,《灰烬》01,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5b0a355,https://2781260535.lofter.com/,2022-06-10,20,20,20,20,20,20,20,62,0,0,0,0,0,0,0
63,【授翻】龟兔赛跑 CH.2,text,战斗系橘喵【看个人介绍】,https://tomarry12317.lofter.com/post/1e53404d_2b5afab4e,https://tomarry12317.lofter.com/,2022-06-09,8,8,8,8,8,8,8,63,0,0,0,0,0,0,0
64,None,img,高锥克山谷的萝莉   ⃒⃘⃤,https://gaozhuikeshangudeluoli.lofter.com/post/1f9724ff_2b5af01e1,https://gaozhuikeshangudeluoli.lofter.com/,2022-06-09,8,8,8,8,8,8,8,64,0,0,0,0,0,0,0
65,【授翻】GGAD之有问必答（7/9）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5aec581,https://moinmoin150.lofter.com/,2022-06-09,5,5,5,5,5,5,5,65,0,0,0,0,0,0,0
66,一个脑洞,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5ae4658,https://andydufresne66959.lofter.com/,2022-06-09,5,5,5,5,5,5,5,66,0,0,0,0,0,0,0
67,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5ae1381,https://moinmoin150.lofter.com/,2022-06-08,15,15,15,15,15,15,15,67,0,0,0,0,0,0,0
68,【adgg】星海（10）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5ae2970,https://chuxiadefengmu.lofter.com/,2022-06-08,30,30,30,30,30,30,30,68,0,0,0,0,0,0,0
69,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5adac66,https://zhonger84482.lofter.com/,2022-06-08,19,19,19,19,19,19,19,69,0,0,0,0,0,0,0
70,关于变成格林德沃的样子穿越07,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5aac81a,https://jiadeling.lofter.com/,2022-06-08,22,22,22,22,22,22,22,70,0,0,0,0,0,0,0
71,金色的大鸟（上＋格林德沃先生篇）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5ac70b9,https://yemingmeiyu.lofter.com/,2022-06-08,10,10,10,10,10,10,10,71,0,0,0,0,0,0,0
72,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5abb921,https://moinmoin150.lofter.com/,2022-06-07,55,55,55,58,60,60,60,72,0,0,3,2,0,0,5
73,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5abae1d,https://moinmoin150.lofter.com/,2022-06-07,18,18,18,18,18,18,18,73,0,0,0,0,0,0,0
74,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5abc46b,https://bu167.lofter.com/,2022-06-07,10,10,10,10,10,10,10,74,0,0,0,0,0,0,0
75,《∞》06-07（完）,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5ababc3,https://2781260535.lofter.com/,2022-06-07,11,12,12,12,12,15,15,75,1,0,0,0,3,0,4
