,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
121,None,img,可梦颖欣,https://kemengyingxin.lofter.com/post/30be3ce1_2b5c39f11,https://kemengyingxin.lofter.com/,2022-06-19,20,20,20,20,20,20,20,121,0,0,0,0,0,0,0
122,当我穿游戏了（8）,text,水纱,https://sifenkesi77710.lofter.com/post/74bd5188_2b5baa70b,https://sifenkesi77710.lofter.com/,2022-06-19,15,17,17,17,18,19,19,122,2,0,0,1,1,0,4
123,None,img,棉花团籽牟,https://huangjunjiequanwainuyou.lofter.com/post/4b779012_2b5c3c08c,https://huangjunjiequanwainuyou.lofter.com/,2022-06-19,9,10,10,10,10,10,10,123,1,0,0,0,0,0,1
124,在1945年的决斗（2）,text,欣灵手巧⃒⃘⃤​,https://ggadyongyuandeshen10282.lofter.com/post/747718fa_2b5bdd0d9,https://ggadyongyuandeshen10282.lofter.com/,2022-06-19,8,9,11,11,11,11,11,124,1,2,0,0,0,0,3
125,None,img,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c32ac9,https://lovewolverine.lofter.com/,2022-06-19,17,17,17,17,17,17,17,125,0,0,0,0,0,0,0
126,ad演员,text,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c372dd,https://lovewolverine.lofter.com/,2022-06-19,12,12,12,12,12,12,12,126,0,0,0,0,0,0,0
127,None,img,海格的黑暗料理,https://ye26470672.lofter.com/post/7473e872_2b5c34d14,https://ye26470672.lofter.com/,2022-06-19,47,48,49,49,49,49,51,127,1,1,0,0,0,2,4
128,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5c358e1,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-19,492,724,885,1076,1355,1628,1846,128,232,161,191,279,273,218,1354
129,【ggAD】巫师也会攀科技树 chapter 2（上）,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c2e430,https://echo4625.lofter.com/,2022-06-18,8,8,9,9,9,9,9,129,0,1,0,0,0,0,1
130,GGAD—夏谷中的玫瑰金（1）,text,Romantic July.,https://romanticjuly.lofter.com/post/74e5968e_2b5c31b43,https://romanticjuly.lofter.com/,2022-06-19,7,7,7,7,7,7,8,130,0,0,0,0,0,1,1
131,【GGAD】你须偿还（23）,text,凌宙 ⃒⃘⃤ ,https://lingzhou106.lofter.com/post/1f9b3e29_2b5c35835,https://lingzhou106.lofter.com/,2022-06-19,141,147,150,157,162,172,174,131,6,3,7,5,10,2,33
132,谁有完整的通信集,text,Geater Good,https://oumeiquanaihaozhe.lofter.com/post/74aa5fe9_2b5c31364,https://oumeiquanaihaozhe.lofter.com/,2022-06-18,2,2,2,2,2,2,2,132,0,0,0,0,0,0,0
133,一组短句（GGAD）,text,Alina·Elster,https://miffy83773.lofter.com/post/745e5f0a_2b5c33fe8,https://miffy83773.lofter.com/,2022-06-18,9,9,9,9,9,9,9,133,0,0,0,0,0,0,0
134,名字/name,text,安,https://zhanggui47354.lofter.com/post/32138e9e_2b5c361f9,https://zhanggui47354.lofter.com/,2022-06-18,9,9,10,10,11,11,12,134,0,1,0,1,0,1,3
135,【GGAD】Kiss Cam,text,不晴女士,https://yujochen.lofter.com/post/1f9b2521_2b5c352c7,https://yujochen.lofter.com/,2022-06-18,279,293,308,320,328,335,339,135,14,15,12,8,7,4,60
136,我的一个嗑点（可能不算新）,text,看到走来的逆家吓得我赶紧打一套军体拳,https://shuidaozhongwuhaoye.lofter.com/post/204d2b1b_2b5c32c34,https://shuidaozhongwuhaoye.lofter.com/,2022-06-18,6,7,9,9,9,9,9,136,1,2,0,0,0,0,3
137,【GGAD】信徒的试炼（十）,text,减缪,https://jianmou760.lofter.com/post/1f4ea424_2b5c32c11,https://jianmou760.lofter.com/,2022-06-18,246,257,261,272,283,283,283,137,11,4,11,11,0,0,37
138,关于华纳的操作,text,Annihilation,https://qianlan88993.lofter.com/post/73e0d1cd_2b5c33344,https://qianlan88993.lofter.com/,2022-06-18,5,5,5,5,5,5,5,138,0,0,0,0,0,0,0
139,一些对与GGAD决战的设想和恶搞,text,汀兰,https://tinglan04989.lofter.com/post/4c896961_2b5c31ff5,https://tinglan04989.lofter.com/,2022-06-18,1,1,1,1,1,1,1,139,0,0,0,0,0,0,0
140,【GGAD】酒日低语「2」,text,余浊在亞特蘭蒂斯,https://honghongneko.lofter.com/post/1f4ebbd3_2b5c30168,https://honghongneko.lofter.com/,2022-06-18,6,7,7,7,10,10,10,140,1,0,0,3,0,0,4
141,当阿利安娜回到了1899年的夏天,text,邓布利多最喜欢的学生,https://shilibai006.lofter.com/post/3111b785_2b5c314b4,https://shilibai006.lofter.com/,2022-06-18,47,57,70,75,78,82,85,141,10,13,5,3,4,3,38
142,【Jam Tomorrow的彩蛋】,text,戚咎不是酒,https://qjmyq.lofter.com/post/2046ad1c_2b5c308a5,https://qjmyq.lofter.com/,2022-06-18,4,4,4,4,4,4,4,142,0,0,0,0,0,0,0
143,【GGAD】当邓布利多从德姆斯特朗抱回一个孩子39,text,鱼鱼社畜中,https://yiduoxiaojinggui.lofter.com/post/3122439c_2b5c2cbff,https://yiduoxiaojinggui.lofter.com/,2022-06-18,206,208,215,217,218,222,225,143,2,7,2,1,4,3,19
144,这是一个乐色的话,text,舞乱薄樱,https://d822730932.lofter.com/post/73c95d6c_2b5c2f9b6,https://d822730932.lofter.com/,2022-06-18,2,2,2,2,3,3,3,144,0,0,0,1,0,0,1
145,老街（戈德里克山谷的盛夏）,text,诺儿,https://nuoer641.lofter.com/post/30c4eab9_2b5c2d3a8,https://nuoer641.lofter.com/,2022-06-18,5,5,5,5,5,5,6,145,0,0,0,0,0,1,1
146,暗的尽头是光吗10【GGAD】,text,一只文,https://luchenfuren85004.lofter.com/post/7439338d_2b5c308a7,https://luchenfuren85004.lofter.com/,2022-06-18,4,4,4,4,6,6,7,146,0,0,0,2,0,1,3
147,【Jam Tomorrow】,text,戚咎不是酒,https://qjmyq.lofter.com/post/2046ad1c_2b5c2b915,https://qjmyq.lofter.com/,2022-06-18,3,3,3,3,3,3,3,147,0,0,0,0,0,0,0
148,血的盟约3,text,穆将宁,https://jiangjiayounu.lofter.com/post/3174c207_2b5c2e4d6,https://jiangjiayounu.lofter.com/,2022-06-18,6,6,10,13,20,20,19,148,0,4,3,7,0,-1,13
149,大瓜叠满之后伏地魔出现在我身后怎么办（20）,text,浪倒映月光,https://tangcixiaoguaner.lofter.com/post/4cce4080_2b5bc3448,https://tangcixiaoguaner.lofter.com/,2022-06-18,93,103,112,122,132,141,148,149,10,9,10,10,9,7,55
150,crush,text,鱼,https://yuyeyu800.lofter.com/post/30e09951_2b5bfc545,https://yuyeyu800.lofter.com/,2022-06-18,2,2,2,2,2,2,2,150,0,0,0,0,0,0,0
151,金色的大鸟（巴沙特篇）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5b82aff,https://yemingmeiyu.lofter.com/,2022-06-18,48,48,49,51,55,54,54,151,0,1,2,4,-1,0,6
152,如果斯教姓普林斯【15】,text,贾云【开学停更中】,https://jiayanxiao.lofter.com/post/30a20393_2b5c22b75,https://jiayanxiao.lofter.com/,2022-06-18,99,102,100,108,112,117,121,152,3,-2,8,4,5,4,22
153,《圣芒戈日记》「GGAD’s Anatomy」2,text,红笔掉了,https://hongbidiaole.lofter.com/post/4c40725b_2b5c2a8b8,https://hongbidiaole.lofter.com/,2022-06-18,32,33,37,38,38,40,41,153,1,4,1,0,2,1,9
154,None,img,葉子,https://shimumumuzi.lofter.com/post/4b657c65_2b5c29e6e,https://shimumumuzi.lofter.com/,2022-06-18,57,60,74,91,100,120,139,154,3,14,17,9,20,19,82
155,None,img,JUST_A_TOMATO,https://laisitelanqixiaojie.lofter.com/post/3223202d_2b5c2a9bd,https://laisitelanqixiaojie.lofter.com/,2022-06-18,10,11,11,11,12,12,13,155,1,0,0,1,0,1,3
156,【GGAD】关于格林德沃家有多么不在意血统这件事,text,佟滦,https://ameliagrindelwald.lofter.com/post/309c784b_2b5c2ce89,https://ameliagrindelwald.lofter.com/,2022-06-18,82,99,128,173,231,294,361,156,17,29,45,58,63,67,279
157,【GGAD】Quantum Theory 量子理论（七）,text,iseec,https://iseec98551.lofter.com/post/4bea1b86_2b5c2aff3,https://iseec98551.lofter.com/,2022-06-18,14,19,18,18,18,18,18,157,5,-1,0,0,0,0,4
158,【GGAD｜德哈】我的怨种前男友,text,我的脑袋里都是洞,https://shalaoshimemeda.lofter.com/post/1d3816f9_2b5c29a5f,https://shalaoshimemeda.lofter.com/,2022-06-18,530,560,597,630,648,674,681,158,30,37,33,18,26,7,151
159,【GGAD】Sacrifice 80（使女AU/ABO/带球跑）,text,炫耀此生,https://xuanyaocisheng0301.lofter.com/post/1ffdab16_2b5c2d537,https://xuanyaocisheng0301.lofter.com/,2022-06-18,138,150,151,151,153,153,154,159,12,1,0,2,0,1,16
160,【哈利波特】(观影+穿越) 繁星闪烁.邓布利多（5）,text,喵呜,https://miaowu080.lofter.com/post/20460448_2b5c29532,https://miaowu080.lofter.com/,2022-06-18,208,224,237,246,260,270,267,160,16,13,9,14,10,-3,59
161,None,img,GGAD,https://yudigege67975.lofter.com/post/748c78e3_2b5c2cdc5,https://yudigege67975.lofter.com/,2022-06-18,39,47,53,54,54,55,55,161,8,6,1,0,1,0,16
162,【GGAD】魔法奇迹（三十五）,text,木逸空,https://2904700490.lofter.com/post/1f9c9bca_2b5bf4aef,https://2904700490.lofter.com/,2022-06-18,14,15,15,15,16,17,17,162,1,0,0,1,1,0,3
163,None,img,梦中の海德薇   ⃒⃘⃤,https://mengzhonghaidewei62199.lofter.com/post/3203aeef_2b5c27328,https://mengzhonghaidewei62199.lofter.com/,2022-06-18,8,8,8,8,9,9,9,163,0,0,0,1,0,0,1
164,【GGAD】神奇邓校在哪里（十九）,text,麟阁刺客,https://shangzeng30030.lofter.com/post/4b771ca9_2b5c25fea,https://shangzeng30030.lofter.com/,2022-06-18,235,249,260,269,279,289,294,164,14,11,9,10,10,5,59
165,None,img,世间愁怅人（虞兮）,https://yuxi3837.lofter.com/post/1f01b6e7_2b5c298aa,https://yuxi3837.lofter.com/,2022-06-18,6,6,6,6,6,6,6,165,0,0,0,0,0,0,0
166,胆小鬼最后的碎碎念,text,lan,https://lan1444647.lofter.com/post/748ac9f1_2b5c2979d,https://lan1444647.lofter.com/,2022-06-18,5,5,5,5,5,6,6,166,0,0,0,0,1,0,1
167,【GGAD】镜像,text,N.D,https://yangxing38488.lofter.com/post/73e1b1f3_2b5c279df,https://yangxing38488.lofter.com/,2022-06-18,13,15,15,15,15,15,15,167,2,0,0,0,0,0,2
168,【GGAD】战败,text,一只鹰崽⃒⃘⃤,https://baibai00296.lofter.com/post/73d7b461_2b5c287ad,https://baibai00296.lofter.com/,2022-06-18,58,70,76,101,114,120,130,168,12,6,25,13,6,10,72
169,None,img,三句话让格林德沃给我108个钻心剜骨,https://xi18332878.lofter.com/post/742e2fd3_2b5c2655e,https://xi18332878.lofter.com/,2022-06-18,11,11,12,12,12,12,12,169,0,1,0,0,0,0,1
170,11 是背叛？还是……,text,半夜又饿醒了,https://banyeyouexingle.lofter.com/post/74375a6a_2b5c24875,https://banyeyouexingle.lofter.com/,2022-06-18,57,63,62,65,66,66,68,170,6,-1,3,1,0,2,11
171,【GGAD】纽蒙迦德狂想曲 2,text,唐,https://mu41470123.lofter.com/post/4d198138_2b5b62780,https://mu41470123.lofter.com/,2022-06-18,12,12,13,13,13,13,13,171,0,1,0,0,0,0,1
172,None,img,槿澂,https://santellina.lofter.com/post/74544467_2b5c230f2,https://santellina.lofter.com/,2022-06-18,5,5,5,5,5,5,5,172,0,0,0,0,0,0,0
173,None,img,怀民已寝，巴掌扇醒,https://hongwuxing33876.lofter.com/post/4c3564e2_2b5c2686a,https://hongwuxing33876.lofter.com/,2022-06-18,58,59,59,59,59,59,59,173,1,0,0,0,0,0,1
174,邓布利多应激反应,text,青木繁临,https://1344847876.lofter.com/post/1e1ca322_2b5c24225,https://1344847876.lofter.com/,2022-06-18,4,4,4,4,4,4,4,174,0,0,0,0,0,0,0
175,【纽特x你x赫尔穆特】我的冤种老爹们9,text,青妩Echo（邓布利多的狗版,https://yaoyao65798.lofter.com/post/31bf63f3_2b5c21187,https://yaoyao65798.lofter.com/,2022-06-18,85,91,95,100,102,110,113,175,6,4,5,2,8,3,28
176,【授权搬运】I just assumed 我假设……[185],text,别玩了要氪金的,https://mengliangren338.lofter.com/post/1d5918b4_2b5c1eace,https://mengliangren338.lofter.com/,2022-06-18,23,23,23,23,23,23,23,176,0,0,0,0,0,0,0
177,【GGAD】始于暮夏（4）,text,颜微,https://yanwei1325.lofter.com/post/32256e64_2b5c23d9d,https://yanwei1325.lofter.com/,2022-06-18,16,16,16,16,17,19,19,177,0,0,0,1,2,0,3
178,None,img,小猫菜奈,https://xiaomaocainai.lofter.com/post/4cf1f484_2b5c2109f,https://xiaomaocainai.lofter.com/,2022-06-18,3,3,3,3,3,3,3,178,0,0,0,0,0,0,0
179,【GGAD】胜者为囚（战败ABO）,text,军岛,https://jundao99.lofter.com/post/1fd1e7ff_2b5c1b3a9,https://jundao99.lofter.com/,2022-06-18,65,67,71,74,75,81,83,179,2,4,3,1,6,2,18
180,A kiss,text,疯姑娘伍幺幺   ⃒⃘⃤,https://quzhongrenbusan472.lofter.com/post/20259b2d_2b5c24924,https://quzhongrenbusan472.lofter.com/,2022-06-18,16,19,20,26,28,30,32,180,3,1,6,2,2,2,16
181,GGAD短篇/洛哈特的求职二三事,text,Annie luis,https://annieyaoheluoenqiangjituia.lofter.com/post/73d36188_2b5c222fd,https://annieyaoheluoenqiangjituia.lofter.com/,2022-06-18,3,4,4,4,5,6,6,181,1,0,0,1,1,0,3
182,None,img,ggad永不be  ⃒⃘⃤(德缇滚犊子),https://yangyang52895.lofter.com/post/74594713_2b5c22eb3,https://yangyang52895.lofter.com/,2022-06-18,5,5,5,6,7,7,7,182,0,0,1,1,0,0,2
183,None,img,鹅尔多斯,https://infinite673.lofter.com/post/2003d816_2b5c222b2,https://infinite673.lofter.com/,2022-06-18,26,27,27,29,30,31,31,183,1,0,2,1,1,0,5
184,默示录 序章,text,双木,https://nannuonuomizhou.lofter.com/post/3091c331_2b5c239a6,https://nannuonuomizhou.lofter.com/,2022-06-18,12,12,12,13,13,13,13,184,0,0,1,0,0,0,1
185,和男友分手以后（十三）,text,刹那芳华,https://chaneifanghua515.lofter.com/post/30b0a4b5_2b5c15580,https://chaneifanghua515.lofter.com/,2022-06-18,32,34,33,37,38,42,43,185,2,-1,4,1,4,1,11
186,None,img,小岛菇凉慕振寒,https://dousenaiqiluotangtang.lofter.com/post/1dc90c89_2b5c22dcf,https://dousenaiqiluotangtang.lofter.com/,2022-06-18,246,557,775,943,1201,1484,1672,186,311,218,168,258,283,188,1426
187,崩坏（2）,text,Lorisen,https://2283399288.lofter.com/post/31b8f77a_2b5bb802a,https://2283399288.lofter.com/,2022-06-18,15,16,21,23,23,23,26,187,1,5,2,0,0,3,11
188,None,img,槿澂,https://santellina.lofter.com/post/74544467_2b5c216e7,https://santellina.lofter.com/,2022-06-18,13,14,14,14,14,14,14,188,1,0,0,0,0,0,1
189,None,img,白骨妹子,https://baigumeizi.lofter.com/post/1da14c75_2b5c20efd,https://baigumeizi.lofter.com/,2022-06-18,166,186,198,205,212,215,215,189,20,12,7,7,3,0,49
190,燃情外传Ⅳ：《烈情岁月》第三十八回 黑云压城,text,雲绯,https://913502227.lofter.com/post/1e537bfb_2b5c20700,https://913502227.lofter.com/,2022-06-18,34,34,34,35,35,35,35,190,0,0,1,0,0,0,1
191,None,img,可梦颖欣,https://kemengyingxin.lofter.com/post/30be3ce1_2b5c1dad6,https://kemengyingxin.lofter.com/,2022-06-18,30,39,40,42,43,45,45,191,9,1,2,1,2,0,15
192,None,img,早安.,https://zaoan43845.lofter.com/post/4ccdf1fa_2b5c2034c,https://zaoan43845.lofter.com/,2022-06-18,3,3,4,4,4,4,4,192,0,1,0,0,0,0,1
193,双生花(双子),text,柠檬雪宝,https://qiu9144666.lofter.com/post/73c2ea17_2b5a8ad46,https://qiu9144666.lofter.com/,2022-06-18,9,9,10,12,14,14,14,193,0,1,2,2,0,0,5
194,找文,text,黑羽,https://heiyu723.lofter.com/post/1fc6f990_2b5c1b368,https://heiyu723.lofter.com/,2022-06-18,1,1,1,1,1,1,1,194,0,0,0,0,0,0,0
195,【Epoch】（一）,text,戚咎不是酒,https://qjmyq.lofter.com/post/2046ad1c_2b5c150b7,https://qjmyq.lofter.com/,2022-06-18,3,3,3,3,3,3,3,195,0,0,0,0,0,0,0
196,None,img,Šylvia⁼.S ࿈,https://ylvias.lofter.com/post/73ef015a_2b5c1dd57,https://ylvias.lofter.com/,2022-06-18,8,8,8,8,8,8,8,196,0,0,0,0,0,0,0
197,None,img,沈夏之,https://shenxiazhi10670.lofter.com/post/73ddabe1_2b5c1b340,https://shenxiazhi10670.lofter.com/,2022-06-18,31,31,31,31,31,31,31,197,0,0,0,0,0,0,0
198,【GGAD】Bruise,text,Lernie,https://minvzilan39013.lofter.com/post/74d65da6_2b5c1b203,https://minvzilan39013.lofter.com/,2022-06-18,30,30,30,31,32,32,33,198,0,0,1,1,0,1,3
199,None,img,烤雁多加码,https://beibianchuilaidefeng73761.lofter.com/post/314c9f26_2b5c1b710,https://beibianchuilaidefeng73761.lofter.com/,2022-06-18,128,133,144,148,155,159,161,199,5,11,4,7,4,2,33
200,这算是一个预告,text,泷山,https://longshan50726.lofter.com/post/311f891d_2b5c1e6f3,https://longshan50726.lofter.com/,2022-06-18,6,6,6,6,6,6,7,200,0,0,0,0,0,1,1
201,None,img,臣是酒中仙,https://moonfairy47321.lofter.com/post/740e7ec9_2b5c180df,https://moonfairy47321.lofter.com/,2022-06-18,120,123,141,152,158,162,165,201,3,18,11,6,4,3,45
202,None,img,大冤种,https://dayuanzhong60724.lofter.com/post/74a7aac8_2b5c1bc87,https://dayuanzhong60724.lofter.com/,2022-06-18,16,16,16,16,18,20,20,202,0,0,0,2,2,0,4
203,【GGAD】当邓布利多从德姆斯特朗抱回一个孩子38,text,鱼鱼社畜中,https://yiduoxiaojinggui.lofter.com/post/3122439c_2b5c17cda,https://yiduoxiaojinggui.lofter.com/,2022-06-18,193,195,196,198,198,201,205,203,2,1,2,0,3,4,12
204,论如何成为一名优秀的肄业生（25）,text,床底下的血盟瓶,https://xiaoxiongyaobing19006.lofter.com/post/4c2a779f_2b5c048e5,https://xiaoxiongyaobing19006.lofter.com/,2022-06-18,7,7,7,7,7,7,7,204,0,0,0,0,0,0,0
205,【授翻】凤凰涅槃（14.2）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c17488,https://moinmoin150.lofter.com/,2022-06-18,42,43,43,45,45,46,47,205,1,0,2,0,1,1,5
206,None,img,疯姑娘斯图尔特,https://crazystewart.lofter.com/post/74558a35_2b5c19ef4,https://crazystewart.lofter.com/,2022-06-18,2,2,2,2,3,3,3,206,0,0,0,1,0,0,1
207,【致欧美意难平】,text,平安,https://pingan05672.lofter.com/post/74bc4b46_2b5c11f89,https://pingan05672.lofter.com/,2022-06-18,34,35,39,42,43,43,44,207,1,4,3,1,0,1,10
208,None,img,鱼干邮递员,https://beelzebub81756.lofter.com/post/73fbd079_2b5c1a0c3,https://beelzebub81756.lofter.com/,2022-06-18,38,44,48,52,58,66,68,208,6,4,4,6,8,2,30
209,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5c18a38,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-18,56,58,61,63,63,67,68,209,2,3,2,0,4,1,12
210,None,img,Gellert Grindelwald ⃒⃘⃤,https://aralan01790.lofter.com/post/74aa51ab_2b5c182a3,https://aralan01790.lofter.com/,2022-06-18,6,6,6,6,8,8,8,210,0,0,0,2,0,0,2
211,哈利波特看平行世界(1),text,炊烟醉清风,https://luoriyuhui43967.lofter.com/post/73d3dc08_2b5c15f80,https://luoriyuhui43967.lofter.com/,2022-06-18,25,31,31,35,38,38,40,211,6,0,4,3,0,2,15
212,（GGAD）双生子（六）,text,Heitiana Artemis Blake Lancast,https://yueliangaiyouling.lofter.com/post/7441749f_2b5c02c87,https://yueliangaiyouling.lofter.com/,2022-06-18,49,51,53,56,57,57,60,212,2,2,3,1,0,3,11
213,羁旅（三）,text,Ezekiel,https://wangpangshuangmulin.lofter.com/post/4c775c1e_2b5c162ef,https://wangpangshuangmulin.lofter.com/,2022-06-18,5,5,5,5,5,5,5,213,0,0,0,0,0,0,0
214,None,img,酒嬬姬STRANA,https://jiuxujistrana.lofter.com/post/74d2d09d_2b5c12e6f,https://jiuxujistrana.lofter.com/,2022-06-18,28,34,37,41,44,49,55,214,6,3,4,3,5,6,27
215,朝生暮死（二）(AI GG×研究员AD）,text,就凭你这个小精灵,https://jiupingnizhegexiaojingling.lofter.com/post/1de24439_2b5c157e4,https://jiupingnizhegexiaojingling.lofter.com/,2022-06-18,23,23,25,27,27,28,28,215,0,2,2,0,1,0,5
216,[GGAD]火焰背后,text,此系zc,https://thegreatergood23688.lofter.com/post/748f7fab_2b5bff0b8,https://thegreatergood23688.lofter.com/,2022-06-18,20,21,23,23,23,23,23,216,1,2,0,0,0,0,3
217,怎样用女儿挽回老相好69,text,Anna-图兰朵,https://anna-tulanduo.lofter.com/post/1f61c809_2b5b7121a,https://anna-tulanduo.lofter.com/,2022-06-18,78,82,83,83,85,85,86,217,4,1,0,2,0,1,8
218,哈利波特看平行世界,text,炊烟醉清风,https://luoriyuhui43967.lofter.com/post/73d3dc08_2b5c16e24,https://luoriyuhui43967.lofter.com/,2022-06-18,19,25,26,26,26,26,26,218,6,1,0,0,0,0,7
219,None,img,冶,https://you17526.lofter.com/post/30d495ce_2b5c14ba5,https://you17526.lofter.com/,2022-06-18,20,20,20,20,20,20,20,219,0,0,0,0,0,0,0
220,【1899】关于厨艺？,text,Gellert Grindelwald,https://furuoluo.lofter.com/post/30af4921_2b5c10f69,https://furuoluo.lofter.com/,2022-06-18,169,171,171,172,173,177,177,220,2,0,1,1,4,0,8
221,GGAD让人类保持理智27,text,leiluo,https://leiluo935.lofter.com/post/201734af_2b5c1567a,https://leiluo935.lofter.com/,2022-06-18,3,3,4,4,4,4,4,221,0,1,0,0,0,0,1
222,None,img,Hr 金色福灵剂🌷%,https://liansenriji03829.lofter.com/post/7471898f_2b5c1341e,https://liansenriji03829.lofter.com/,2022-06-18,45,45,46,48,48,48,48,222,0,1,2,0,0,0,3
223,关于老大和邓布利多是什么关系（二）,text,作死罗锅,https://zuosidehushuluoguo.lofter.com/post/7468d789_2b5c118f0,https://zuosidehushuluoguo.lofter.com/,2022-06-18,18,19,19,20,20,22,22,223,1,0,1,0,2,0,4
224,还乡（21）,text,囧山童姥,https://jiongshantonglao.lofter.com/post/4be2569f_2b5c07b5f,https://jiongshantonglao.lofter.com/,2022-06-18,9,9,10,9,10,10,10,224,0,1,-1,1,0,0,1
225,在1945年的决斗（1）,text,欣灵手巧⃒⃘⃤​,https://ggadyongyuandeshen10282.lofter.com/post/747718fa_2b5b5421f,https://ggadyongyuandeshen10282.lofter.com/,2022-06-18,8,8,10,10,10,10,10,225,0,2,0,0,0,0,2
226,求文 占tag致歉,text,双木,https://nannuonuomizhou.lofter.com/post/3091c331_2b5c10d4e,https://nannuonuomizhou.lofter.com/,2022-06-18,13,13,13,13,15,15,15,226,0,0,0,2,0,0,2
227,我是GGAD的女儿,text,writing.,https://writing64027.lofter.com/post/74d00dc6_2b5c0f2c1,https://writing64027.lofter.com/,2022-06-18,19,32,33,40,53,67,89,227,13,1,7,13,14,22,70
228,None,img,佘跫,https://milao94893.lofter.com/post/7448f206_2b5c0f682,https://milao94893.lofter.com/,2022-06-18,10,12,12,16,19,23,24,228,2,0,4,3,4,1,14
229,Speculum imaginis,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5c0e6ba,https://zhonger84482.lofter.com/,2022-06-18,53,53,53,52,56,56,56,229,0,0,-1,4,0,0,3
230,【1899】关于厨艺……,text,Albus Dumbledore,https://loveislove09446.lofter.com/post/4c6c0f62_2b5c0b433,https://loveislove09446.lofter.com/,2022-06-18,222,227,234,235,238,239,241,230,5,7,1,3,1,2,19
231,现场观影席之神奇动物在哪里(11),text,三岸,https://dansan20561.lofter.com/post/315b3e68_2b5c0fccc,https://dansan20561.lofter.com/,2022-06-17,14,14,15,15,14,14,14,231,0,1,0,-1,0,0,0
232,我捍卫你的爱 第二十三章,text,陈埃,https://chenai226.lofter.com/post/2011526d_2b5c038fa,https://chenai226.lofter.com/,2022-06-17,12,14,14,15,16,16,16,232,2,0,1,1,0,0,4
233,【GGAD】存在即永恒,text,Existence is eternity,https://baiyexiaomeng.lofter.com/post/30a41e51_2b5c0dad8,https://baiyexiaomeng.lofter.com/,2022-06-17,16,16,16,16,16,16,16,233,0,0,0,0,0,0,0
234,(GGAD同人文) 夏季的玫瑰22,text,丶墨御涵,https://moyuhan59022.lofter.com/post/31cd8d85_2b5c01470,https://moyuhan59022.lofter.com/,2022-06-17,31,29,29,29,30,29,30,234,-2,0,0,1,-1,1,-1
235,血的盟约2,text,穆将宁,https://jiangjiayounu.lofter.com/post/3174c207_2b5c09b96,https://jiangjiayounu.lofter.com/,2022-06-17,9,9,11,11,12,13,15,235,0,2,0,1,1,2,6
236,None,img,白茶,https://yjj6697815.lofter.com/post/4cb94381_2b5c0a833,https://yjj6697815.lofter.com/,2022-06-17,13,14,14,14,14,14,14,236,1,0,0,0,0,0,1
237,None,img,Mizuki,https://481481520.lofter.com/post/1d8eb750_2b5c05bda,https://481481520.lofter.com/,2022-06-17,24,24,24,26,26,28,29,237,0,0,2,0,2,1,5
238,【GGAD】助力六千fo的点梗活动（1）开始啦！,text,✨燕安鸩毒✨,https://ginyinlawliet.lofter.com/post/1ef7e066_2b5c07724,https://ginyinlawliet.lofter.com/,2022-06-17,35,35,36,36,36,36,36,238,0,1,0,0,0,0,1
239,1899之夏 05,text,B221B,https://b221b66195.lofter.com/post/4d133484_2b5c06ef3,https://b221b66195.lofter.com/,2022-06-17,9,11,11,12,12,12,12,239,2,0,1,0,0,0,3
240,None,img,fu莱茵,https://shuiyan97225.lofter.com/post/4bd94fee_2b5c0940c,https://shuiyan97225.lofter.com/,2022-06-17,111,115,120,121,125,127,130,240,4,5,1,4,2,3,19
241,玫瑰花海,text,平秣陵生,https://tuxiaomeng381.lofter.com/post/30c0d556_2b5c07921,https://tuxiaomeng381.lofter.com/,2022-06-17,4,5,5,5,5,5,5,241,1,0,0,0,0,0,1
242,夏天的风,text,临江 ⃒⃘⃤,https://linjiang89062.lofter.com/post/73f92bd2_2b5c0839d,https://linjiang89062.lofter.com/,2022-06-17,3,3,3,3,3,3,3,242,0,0,0,0,0,0,0
243,ggad：Fairy tale（2）,text,fishsz ⃒⃘⃤​,https://nikanfish.lofter.com/post/7414d447_2b5bfaba8,https://nikanfish.lofter.com/,2022-06-17,18,18,18,18,18,18,18,243,0,0,0,0,0,0,0
244,【伪历史】魔法史·四,text,leaves（考研党，咕咕咕）,https://leaves20380.lofter.com/post/31797929_2b5bfbf60,https://leaves20380.lofter.com/,2022-06-17,168,174,179,186,192,198,200,244,6,5,7,6,6,2,32
245,None,img,swillow,https://kuailedecheche.lofter.com/post/203a7f88_2b5c03f17,https://kuailedecheche.lofter.com/,2022-06-17,55,56,59,62,63,64,64,245,1,3,3,1,1,0,9
