,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
27,【ggadgg】非典型性热文分析与推荐,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5bd2997,https://moinmoin150.lofter.com/,2022-06-16,137,142,146,147,148,149,149,27,5,4,1,1,1,0,12
28,adgg,text,Always,https://yinyongyue.lofter.com/post/741dcfd2_2b5bd0d53,https://yinyongyue.lofter.com/,2022-06-16,50,50,50,52,52,52,52,28,0,0,2,0,0,0,2
29,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5bc9661,https://moinmoin150.lofter.com/,2022-06-15,58,60,63,63,63,63,63,29,2,3,0,0,0,0,5
30,【adgg】星海（14）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5bcb389,https://chuxiadefengmu.lofter.com/,2022-06-15,156,164,167,168,169,174,174,30,8,3,1,1,5,0,18
31,《灰烬》02,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5bc85c3,https://2781260535.lofter.com/,2022-06-15,150,156,155,157,157,162,162,31,6,-1,2,0,5,0,12
32,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5bc8194,https://zhonger84482.lofter.com/,2022-06-15,69,71,72,72,72,72,72,32,2,1,0,0,0,0,3
33,大纲＋人物设定,text,April,https://april67505.lofter.com/post/74ce63fa_2b5bbf15c,https://april67505.lofter.com/,2022-06-15,17,19,20,20,20,20,20,33,2,1,0,0,0,0,3
34,点梗,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b8dc95,https://platanus-occidentalis-l.lofter.com/,2022-06-14,5,5,5,5,5,6,6,34,0,0,0,0,1,0,1
35,None,img,Burke,https://wenruohan430.lofter.com/post/3117898f_2b5b8dbbb,https://wenruohan430.lofter.com/,2022-06-14,8,8,8,8,8,8,8,35,0,0,0,0,0,0,0
36,有关糖,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5b89413,https://fanmaihuanghundewenrou.lofter.com/,2022-06-13,7,7,7,7,7,7,7,36,0,0,0,0,0,0,0
37,【adgg】星海（13）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b89dde,https://chuxiadefengmu.lofter.com/,2022-06-13,119,121,125,126,126,130,130,37,2,4,1,0,4,0,11
38,【ADGG】红白玫瑰（49）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5b898f1,https://banzhujiang.lofter.com/,2022-06-13,74,75,76,73,73,74,74,38,1,1,-3,0,1,0,0
39,None,img,尚恩鹅鹅鹅鹅鹅鹅鹅,https://shangeneeeeeee.lofter.com/post/74dbd205_2b5b85ef8,https://shangeneeeeeee.lofter.com/,2022-06-13,9,9,9,9,9,10,10,39,0,0,0,0,1,0,1
40,【adgg】脑洞—甜品奇缘,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b83f6d,https://platanus-occidentalis-l.lofter.com/,2022-06-13,26,26,28,28,28,29,29,40,0,2,0,0,1,0,3
41,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5b7bc28,https://andydufresne66959.lofter.com/,2022-06-13,81,84,84,84,85,85,85,41,3,0,0,1,0,0,4
42,【adgg】脑洞——另一个故事,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5b7a72c,https://platanus-occidentalis-l.lofter.com/,2022-06-13,48,50,49,53,53,54,54,42,2,-1,4,0,1,0,6
43,【adgg】瘾+pwp,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5b7786c,https://moinmoin150.lofter.com/,2022-06-13,39,39,39,40,40,40,40,43,0,0,1,0,0,0,1
44,【ADGG】红白玫瑰（48）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5b70239,https://banzhujiang.lofter.com/,2022-06-12,57,60,61,61,61,62,62,44,3,1,0,0,1,0,5
45,打扰了，找篇文,text,喜欢lex永永远远❤️（阴阳怪气光芒万丈,https://xuzilanfeng896.lofter.com/post/1fc974ac_2b5b6f623,https://xuzilanfeng896.lofter.com/,2022-06-12,11,11,11,11,11,11,11,45,0,0,0,0,0,0,0
